#OTU ID	S1-bottom	S1-sediment	S2-surface	S2-bottom	S2-sediment	S3-surface	S3-bottom	S3-sediment	S4-surface	S4-bottom	S4-sediment	S5-surface	S5-bottom	S5-sediment	S6-surface	S6-bottom	S6-sediment	S7-surface	S7-bottom	S7-sediment	S8-surface	S8-bottom	S8-sediment	S9-surface	S9-bottom	S9-sediment	S10-surface	S10-bottom	S10-sediment	S11-surface	S11-bottom	S11-sediment	S12-surface	S12-bottom	S12-sediment	S13-surface	S13-bottom	S13-sediment	S14-surface	S14-bottom	S14-sediment	C1-surface	C1-bottom	C1-sediment	C2-surface	C2-sediment	C3-surface	C3-sediment	C4-surface	C4-bottom	C4-sediment	C5-surface	C5-bottom	C5-sediment	C10-surface	C10-sediment	C11-surface	C11-bottom	C11-sediment	C12-surface	C12-bottom	C13-surface	C13-bottom	C13-sediment	C14-surface	C14-bottom	C14-sediment	N1-surface	N1-bottom	N1-sediment	N2-surface	N2-bottom	N3-surface	N3-sediment	N4-surface	N4-sediment	N5-surface	N5-sediment	N6-surface	N7-surface	N7-sediment	N8-surface	N8-sediment	N9-surface	N9-sediment	N10-surface	N10-sediment	N11-surface	N11	N12-surface	N12-sediment	N13-surface	N13-sediment	N14-surface	N14-sediment	N15-surface	N15-sediment	N16-surface	N16-bottom	N16-sediment
Zotu1	6793	56	2857	2353	12786	9916	583	10908	3796	3435	18	46091	3871	287	61844	1813	5568	42791	60	27	10913	663	10777	20011	5412	21	36667	6063	71	12786	444	80	3912	3812	21	5846	8619	33692	13904	8400	61	34074	5768	13	48202	38	35291	51498	28797	2844	45	28061	4651	37	41449	99	41151	1837	45	41878	34	41476	5229	245	29540	4747	27	31320	855	121	35042	272	14170	513	38128	159	50471	7060	16681	33227	456	48385	38	61061	7	45168	84	50845	118	58268	103	29660	292	27711	1712	25491	100	49259	13014	660
Zotu2	7	3	5281	22	7	38937	2003	11	13211	16	2	1116	24	67	6745	579	82	31	5032	1	2069	53	21	31418	23	15	13872	16	9	40665	10424	10	40616	8428	8231	36135	11817	514	30241	738	32	12888	1572	12	6233	15	18124	18	5240	5533	15	1547	1720	7	25022	1	14	16	1	18	3	22	15	59	5171	487	2	8741	798	30	13622	30	8126	7	11327	19	16209	24	33619	12362	9	27	7	2508	0	1570	99	4447	34	13179	32	17951	104	11899	23	19352	47	7905	3690	12724
Zotu3	215	36274	15	174	1039	1	118	1320	10	66	952	24	302	28260	5	51	816	1	45	1066	7	26	31991	12	192	3848	86	193	28526	0	135	198	6	9127	482	134	397	2709	531	12	598	12	66	54	2	1252	4	948	9	152	76319	26	59	223	0	4517	12	102	358	3	246	0	237	44	10	35	85172	4	9	392	7	100	1	33	3	37	5	52	1	0	19	1	22	0	32	0	12	12	58905	1	99	2	262	1	427	14	56025	5	59	8811
Zotu4	881	3	18652	2195	18	10395	2537	18	7784	1548	10	11190	2582	31	2610	418	9	4682	2438	67	14092	891	20	10349	2995	21	6040	3333	44	9770	3687	27	10430	2929	59	12576	721	17	10555	64	13	3963	2658	18	1444	33	3513	22	4137	1298	10	20502	1947	38	4173	15	4905	431	8	3532	519	4817	1243	17	1733	578	4	3643	102	3	1442	950	2839	14	2480	67	1787	47	4347	2403	13	9869	46	3835	46	7025	56	8147	39	1786	48	4019	22	3328	32	1356	44	1216	1268	18
Zotu5	0	14	0	0	13	0	0	9320	0	0	25	3	0	232	2	0	87	8	1	12	1	0	54	2	0	10	0	0	33	16	2	3	2	0	15	0	1	16	2	0	18155	2	0	0	0	31	0	14162	1	0	50932	0	0	12	0	54384	3	2	24800	6	0	2	0	31	0	1	25	0	0	308	0	0	1	47554	0	19476	0	67	1	0	104	0	5	1	0	1	13	0	176	3	950	0	0	0	288	0	7	0	0	4
Zotu6	5	10	5	2	39056	2	1	10624	0	0	38	0	8	23	1	7	195	0	0	98	0	0	2	0	2	6	1	0	1141	0	0	6	0	0	31813	0	7	12632	1	6	4	0	5	51	0	1	0	40	0	0	6482	1	6	3	0	61093	0	8	24	1	3	1	3	3	0	0	375	0	0	964	0	0	0	35	2	2	0	16	0	0	13	2	7	0	13	9	9	1	27452	0	14768	0	3	4	16	0	171	0	3	24
Zotu7	7867	258	6123	2339	101	740	2026	106	9581	1664	123	762	958	242	589	68	15	188	713	17	1316	309	138	361	1257	102	211	1763	220	3239	2551	253	5227	2591	446	1305	803	249	4397	119	114	1427	3160	8	153	137	333	1323	372	4266	21	204	4978	67	222	1	39	2935	9	87	2725	110	1339	384	286	155	7	10154	181	165	3902	12392	6537	117	5122	680	1256	389	2550	541	760	880	2428	436	1	810	1436	1315	13	456	1019	6775	371	5000	846	3800	238	2830	7445	229
Zotu8	16	39796	1	5	422	0	70	10706	2	3	13	0	0	519	0	1	80	0	4	173	2	1	136	0	0	23	0	2	470	22	1	166	0	10	816	0	0	222	0	7	11002	0	5	11	23	810	2	110	1	3	713	0	1	7	2	18	0	2	204	0	1	0	4	183	0	566	198	0	1	175	0	25	0	7	630	63	1	35	0	4	101074	1	198	1	35	4	33	2	26	0	1018	0	2130	0	4449	0	1	0	18	107
Zotu9	3198	1038	3548	1738	330	268	1254	90	425	2336	93	1062	2091	389	61	1426	11	1211	3846	41	2072	1663	11	1613	2278	10	371	3635	195	518	1974	33	1064	5189	4136	462	3969	3418	238	9089	169	287	2625	194	17	47	14	769	85	4068	164	3081	2706	1071	172	97	54	6603	76	72	4088	806	3652	51	16	1841	182	170	348	245	22	8259	23	1209	57	1094	73	401	101	88	86	490	64	102	374	97	426	1077	368	32	224	242	564	23	394	10	38	179	2635	8445
Zotu10	54	69	4	3979	1	0	11989	93	1	5314	5	0	8229	43	21	9913	5	1	541	24	7	28723	4	2	2754	11	1	2105	7	0	1657	16	0	1218	9	2	67	25	151	10	19	0	7135	12	10	5	0	46	0	6051	1	1	5551	13	8	6	0	10130	5	8	624	0	14760	2	0	48	9	0	1939	48	0	92	0	1	7	7	0	0	5	0	7	8	6	0	0	8	35	0	8	6	13	0	7	8	12	0	8	0	121	44
